eval_avg/return_s/h0_weak_thrust,eval_video/len_s/h9_explode_then_thrust_over,eval_video/len_s/h7_unicycle_left,eval_avg/solve_rate_s/h9_explode_then_thrust_over,media/eval_video_s/h5_rotate_fall,eval_video/len_s/h6_unicycle_right,eval_video/len_s/h5_rotate_fall,eval_video/len_s/h4_thrust_aim,eval_video/len_s/h3_point_the_thruster,eval_avg/solve_rate_s/h0_weak_thrust,eval_video/return_s/h3_point_the_thruster,media/eval_video_s/h8_unicycle_balance,eval_avg/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h1_thrust_over_ball,eval_video/len_s/h1_thrust_over_ball,eval_video/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h3_point_the_thruster,timing/num_updates,eval_avg/solve_rate_s/h6_unicycle_right,eval_avg/solve_rate_s/h7_unicycle_left,timing/sps_agg,eval/mean_eval_solve,eval_video/return_s/h2_one_wheel_car,media/eval_video_s/h0_weak_thrust,eval_video/return_s/h6_unicycle_right,media/eval_video_s/h1_thrust_over_ball,eval_video/return_s/h8_unicycle_balance,media/eval_video_s/h7_unicycle_left,eval_video/len_s/h0_weak_thrust,num_completed_episodes,eval_avg/return_s/h4_thrust_aim,eval_avg/return_s/h7_unicycle_left,timing/sps,eval_avg/return_s/h3_point_the_thruster,_timestamp,timing/num_env_steps,episode_return,media/eval_video_s/h2_one_wheel_car,media/eval_video_s/h6_unicycle_right,media/eval_video_s/h9_explode_then_thrust_over,eval_video/return_s/h5_rotate_fall,eval_avg/solve_rate_s/h4_thrust_aim,eval_avg/return_s/h2_one_wheel_car,_step,eval_avg/solve_rate_s/h8_unicycle_balance,eval_video/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h5_rotate_fall,eval/mean_eval_eplen,eval_video/len_s/h8_unicycle_balance,eval/mean_eval_return,eval_avg/return_s/h6_unicycle_right,_runtime,eval_video/return_s/h1_thrust_over_ball,eval_video/len_s/h2_one_wheel_car,eval_avg/solve_rate_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h5_rotate_fall,eval_avg/solve_rate_s/h2_one_wheel_car,eval_video/return_s/h7_unicycle_left,episode_solved,eval_video/return_s/h4_thrust_aim,media/eval_video_s/h3_point_the_thruster,media/eval_video_s/h4_thrust_aim,episode_length,eval_avg/return_s/h8_unicycle_balance
,,,,,,,,,,,,,,,,,31,,,36834.61768988093,,,,,,,,,8639,,,41563.871351164504,,1763186761.38006,63488000.0,0.8265581130981445,,,,,,,31,,,,,,,,1742.322126461,,,,,,,0.16529691219329834,,,,237.31948852539062,
,,,,,,,,,,,,,,,,,32,,,36966.025431124144,,,,,,,,,8585,,,41562.539014167,,1763186810.6550543,65536000.0,0.8125340342521667,,,,,,,32,,,,,,,,1791.597040069,,,,,,,0.15911473333835602,,,,238.36854553222656,
,,,,,,,,,,,,,,,,,33,,,37090.1074343338,,,,,,,,,8560,,,41553.483196458554,,1763186859.9412956,67584000.0,0.8220354914665222,,,,,,,33,,,,,,,,1840.883077237,,,,,,,0.165771022439003,,,,238.1912384033203,
,,,,,,,,,,,,,,,,,34,,,37207.59001734136,,,,,,,,,8624,,,41550.776526318085,,1763186909.2302077,69632000.0,0.8243395686149597,,,,,,,34,,,,,,,,1890.17190253,,,,,,,0.16674396395683289,,,,238.07200622558594,
,,,,,,,,,,,,,,,,,35,,,37319.24093845594,,,,,,,,,8610,,,41559.36527905921,,1763186958.509036,71680000.0,0.8186792135238647,,,,,,,35,,,,,,,,1939.451450705,,,,,,,0.16213704645633698,,,,238.2617950439453,
,,,,,,,,,,,,,,,,,36,,,37424.849805278835,,,,,,,,,8625,,,41539.121131311054,,1763187007.8119144,73728000.0,0.8166704773902893,,,,,,,36,,,,,,,,1988.755175566,,,,,,,0.16162319481372833,,,,237.45425415039062,
,,,,,,,,,,,,,,,,,37,,,37525.40671280993,,,,,,,,,8581,,,41543.88320568431,,1763187057.109101,75776000.0,0.8225587010383606,,,,,,,37,,,,,,,,2038.052540316,,,,,,,0.1660645604133606,,,,237.80770874023438,
,,,,,,,,,,,,,,,,,38,,,37621.23687844333,,,,,,,,,8626,,,41546.94144130214,,1763187106.4028873,77824000.0,0.8204208612442017,,,,,,,38,,,,,,,,2087.345636684,,,,,,,0.1665893793106079,,,,237.82228088378906,
,,,,,,,,,,,,,,,,,39,,,37712.07044093028,,,,,,,,,8599,,,41521.5962040136,,1763187155.7268596,79872000.0,0.8112759590148926,,,,,,,39,,,,,,,,2136.669318216,,,,,,,0.15978601574897766,,,,238.55751037597656,
,,,,,,,,,,,,,,,,,40,,,37798.12330059365,,,,,,,,,8560,,,41490.427249937704,,1763187205.0872571,81920000.0,0.8039759397506714,,,,,,,40,,,,,,,,2186.031379814,,,,,,,0.15268690884113312,,,,239.22360229492188,
,,,,,,,,,,,,,,,,,41,,,37880.494093393725,,,,,,,,,8603,,,41497.82587418324,,1763187254.4395983,83968000.0,0.8212762475013733,,,,,,,41,,,,,,,,2235.382099113,,,,,,,0.16622108221054077,,,,237.39126586914062,
,,,,,,,,,,,,,,,,,42,,,37959.70844429052,,,,,,,,,8618,,,41519.4967350129,,1763187303.7660167,86016000.0,0.8201916813850403,,,,,,,42,,,,,,,,2284.70766386,,,,,,,0.16523554921150208,,,,237.8388214111328,
,,,,,,,,,,,,,,,,,43,,,38035.439639622986,,,,,,,,,8595,,,41513.96740336155,,1763187353.0987115,88064000.0,0.8125202059745789,,,,,,,43,,,,,,,,2334.040836087,,,,,,,0.15904594957828522,,,,238.57777404785156,
,,,,,,,,,,,,,,,,,44,,,38108.140637327655,,,,,,,,,8565,,,41520.74141895203,,1763187402.4230437,90112000.0,0.8096326589584351,,,,,,,44,,,,,,,,2383.365874728,,,,,,,0.15715119242668152,,,,238.52503967285156,
,,,,,,,,,,,,,,,,,45,,,38177.816634010036,,,,,,,,,8613,,,41517.86804172573,,1763187451.7512078,92160000.0,0.8169325590133667,,,,,,,45,,,,,,,,2432.692444824,,,,,,,0.16196447610855103,,,,237.7212371826172,
,,,,,,,,,,,,,,,,,46,,,38244.7566278718,,,,,,,,,8615,,,41520.82591245634,,1763187501.0759223,94208000.0,0.8229531049728394,,,,,,,46,,,,,,,,2482.017819335,,,,,,,0.16366802155971527,,,,238.47451782226562,
,,,,,,,,,,,,,,,,,47,,,38309.12682074422,,,,,,,,,8602,,,41524.04876344913,,1763187550.3970702,96256000.0,0.8213562369346619,,,,,,,47,,,,,,,,2531.339392678,,,,,,,0.16542664170265198,,,,237.49267578125,
,,,,,,,,,,,,,,,,,48,,,38371.43175390563,,,,,,,,,8628,,,41547.287078375135,,1763187599.6898558,98304000.0,0.8239393830299377,,,,,,,48,,,,,,,,2580.631100992,,,,,,,0.16597124934196472,,,,237.68637084960938,
,,,,,,,,,,,,,,,,,49,,,38431.11741617949,,,,,,,,,8582,,,41532.00597030758,,1763187649.001412,100352000.0,0.8179316520690918,,,,,,,49,,,,,,,,2629.942579598,,,,,,,0.1623164713382721,,,,238.13958740234375,
