eval/mean_eval_eplen,eval_video/return_s/h2_one_wheel_car,media/eval_video_s/h6_unicycle_right,media/eval_video_s/h5_rotate_fall,eval_video/len_s/h9_explode_then_thrust_over,timing/sps,eval_video/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h8_unicycle_balance,eval_avg/return_s/h6_unicycle_right,eval_avg/return_s/h1_thrust_over_ball,num_completed_episodes,eval_video/return_s/h1_thrust_over_ball,eval_video/len_s/h7_unicycle_left,eval_avg/solve_rate_s/h7_unicycle_left,eval_avg/solve_rate_s/h6_unicycle_right,eval_avg/solve_rate_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h0_weak_thrust,eval_avg/solve_rate_s/h4_thrust_aim,media/eval_video_s/h0_weak_thrust,eval_avg/return_s/h0_weak_thrust,eval_video/return_s/h4_thrust_aim,eval_avg/solve_rate_s/h2_one_wheel_car,eval_video/len_s/h4_thrust_aim,episode_return,media/eval_video_s/h7_unicycle_left,eval_avg/solve_rate_s/h9_explode_then_thrust_over,eval/mean_eval_return,eval_video/len_s/h2_one_wheel_car,eval_video/len_s/h8_unicycle_balance,media/eval_video_s/h9_explode_then_thrust_over,episode_solved,eval_video/len_s/h0_weak_thrust,eval_video/return_s/h5_rotate_fall,_timestamp,timing/num_updates,timing/num_env_steps,eval_avg/return_s/h4_thrust_aim,media/eval_video_s/h3_point_the_thruster,eval_avg/return_s/h2_one_wheel_car,eval_avg/return_s/h8_unicycle_balance,eval_avg/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h7_unicycle_left,eval_avg/return_s/h5_rotate_fall,eval_video/return_s/h8_unicycle_balance,_step,eval_avg/solve_rate_s/h5_rotate_fall,eval_video/len_s/h6_unicycle_right,timing/sps_agg,eval_avg/return_s/h3_point_the_thruster,_runtime,eval_video/len_s/h1_thrust_over_ball,eval/mean_eval_solve,eval_video/return_s/h6_unicycle_right,media/eval_video_s/h2_one_wheel_car,eval_video/return_s/h9_explode_then_thrust_over,episode_length,eval_video/len_s/h3_point_the_thruster,eval_video/return_s/h3_point_the_thruster,eval_video/len_s/h5_rotate_fall,media/eval_video_s/h8_unicycle_balance,eval_avg/solve_rate_s/h3_point_the_thruster,media/eval_video_s/h1_thrust_over_ball,media/eval_video_s/h4_thrust_aim,eval_video/return_s/h7_unicycle_left
,,,,,42065.595895338156,,,,,73728,,,,,,,,,,,,,-0.38761234283447266,,,,,,,0.0,,,1763173596.9237595,33,67584000.0,,,,,,,,,33,,,37560.42244048993,,1818.222142397,,,,,,28.0,,,,,,,,
,,,,,42077.84010009997,,,,,73728,,,,,,,,,,,,,-0.3876296579837799,,,,,,,0.0,,,1763173645.5950692,34,69632000.0,,,,,,,,,34,,,37679.399123731746,,1866.891799112,,,,,,28.0,,,,,,,,
,,,,,42052.04411378199,,,,,71680,,,,,,,,,,,,,-0.3876558542251587,,,,,,,0.0,,,1763173694.296872,35,71680000.0,,,,,,,,,35,,,37791.674676168106,,1915.595052888,,,,,,28.0,,,,,,,,
,,,,,42045.91082292991,,,,,73728,,,,,,,,,,,,,-0.3875671625137329,,,,,,,1.3563368156610522e-05,,,1763173743.0053706,36,73728000.0,,,,,,,,,36,,,37898.19041919931,,1964.301291027,,,,,,27.99998664855957,,,,,,,,
,,,,,41877.66544716741,,,,,73728,,,,,,,,,,,,,-0.3876616656780243,,,,,,,0.0,,,1763173791.9141858,37,75776000.0,,,,,,,,,37,,,37995.774031999295,,2013.213383764,,,,,,28.0,,,,,,,,
,,,,,41975.41189676085,,,,,71680,,,,,,,,,,,,,-0.38767123222351074,,,,,,,0.0,,,1763173840.7023141,38,77824000.0,,,,,,,,,38,,,38090.80938501479,,2061.998657597,,,,,,28.0,,,,,,,,
,,,,,41950.787376367916,,,,,73728,,,,,,,,,,,,,-0.38769498467445374,,,,,,,1.3563368156610522e-05,,,1763173889.5205593,39,79872000.0,,,,,,,,,39,,,38180.88892096529,,2110.819999064,,,,,,27.99998664855957,,,,,,,,
,,,,,42010.75136184708,,,,,73728,,,,,,,,,,,,,-0.38765716552734375,,,,,,,0.0,,,1763173938.2694645,40,81920000.0,,,,,,,,,40,,,38268.105630788385,,2159.570797973,,,,,,28.0,,,,,,,,
,,,,,41933.97853408191,,,,,73728,,,,,,,,,,,,,-0.38769280910491943,,,,,,,0.0,,,1763173987.108366,41,83968000.0,,,,,,,,,41,,,38349.87514787787,,2208.411417567,,,,,,28.0,,,,,,,,
,,,,,41999.49589464514,,,,,71680,,,,,,,,,,,,,-0.38758108019828796,,,,,,,0.0,,,1763174035.87128,42,86016000.0,,,,,,,,,42,,,38429.38442343424,,2257.174933638,,,,,,28.0,,,,,,,,
,,,,,41922.40365586056,,,,,73728,,,,,,,,,,,,,-0.38769733905792236,,,,,,,0.0,,,1763174084.722407,43,88064000.0,,,,,,,,,43,,,38503.99357858119,,2306.030608495,,,,,,28.0,,,,,,,,
,,,,,41994.103024844095,,,,,73728,,,,,,,,,,,,,-0.3876243531703949,,,,,,,1.3563368156610522e-05,,,1763174133.4911916,44,90112000.0,,,,,,,,,44,,,38576.85957876446,,2354.798532147,,,,,,27.99998664855957,,,,,,,,
,,,,,41929.22833202278,,,,,71680,,,,,,,,,,,,,-0.3876926004886627,,,,,,,0.0,,,1763174182.334563,45,92160000.0,,,,,,,,,45,,,38645.522390347214,,2403.638785028,,,,,,28.0,,,,,,,,
,,,,,42020.76220089092,,,,,73728,,,,,,,,,,,,,-0.38761648535728455,,,,,,,0.0,,,1763174231.0721855,46,94208000.0,,,,,,,,,46,,,38713.1215143754,,2452.375794925,,,,,,28.0,,,,,,,,
,,,,,42009.21518031128,,,,,73728,,,,,,,,,,,,,-0.38762468099594116,,,,,,,1.3563368156610522e-05,,,1763174279.8244402,47,96256000.0,,,,,,,,,47,,,38777.85677799727,,2501.126876657,,,,,,27.99998664855957,,,,,,,,
,,,,,42022.712025202236,,,,,73728,,,,,,,,,,,,,-0.3875460624694824,,,,,,,1.3563368156610522e-05,,,1763174328.55894,48,98304000.0,,,,,,,,,48,,,38840.3385042099,,2549.866648383,,,,,,27.99998664855957,,,,,,,,
,,,,,42012.57676359026,,,,,71680,,,,,,,,,,,,,-0.38761457800865173,,,,,,,0.0,,,1763174377.307857,49,100352000.0,,,,,,,,,49,,,38900.28214968127,,2598.611085055,,,,,,28.0,,,,,,,,
