episode_length,episode_return,media/eval_video_s/h0_weak_thrust,eval_avg/return_s/h7_unicycle_left,eval_video/return_s/h4_thrust_aim,episode_solved,eval_avg/solve_rate_s/h0_weak_thrust,eval_video/return_s/h6_unicycle_right,eval_video/return_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h1_thrust_over_ball,eval_avg/solve_rate_s/h3_point_the_thruster,eval_video/len_s/h1_thrust_over_ball,media/eval_video_s/h6_unicycle_right,media/eval_video_s/h9_explode_then_thrust_over,eval/mean_eval_eplen,eval_avg/return_s/h3_point_the_thruster,timing/sps_agg,_timestamp,eval_video/len_s/h4_thrust_aim,eval_video/len_s/h7_unicycle_left,timing/num_env_steps,timing/num_updates,media/eval_video_s/h7_unicycle_left,eval_avg/solve_rate_s/h2_one_wheel_car,eval_avg/solve_rate_s/h8_unicycle_balance,eval_avg/return_s/h9_explode_then_thrust_over,media/eval_video_s/h5_rotate_fall,eval/mean_eval_return,eval_avg/return_s/h2_one_wheel_car,eval_video/len_s/h6_unicycle_right,eval_video/len_s/h0_weak_thrust,eval_video/len_s/h9_explode_then_thrust_over,media/eval_video_s/h1_thrust_over_ball,eval_video/len_s/h5_rotate_fall,eval_avg/solve_rate_s/h5_rotate_fall,eval_avg/solve_rate_s/h6_unicycle_right,eval_video/return_s/h2_one_wheel_car,_step,eval_video/return_s/h9_explode_then_thrust_over,eval_avg/return_s/h8_unicycle_balance,eval_video/len_s/h8_unicycle_balance,num_completed_episodes,eval_avg/return_s/h5_rotate_fall,media/eval_video_s/h8_unicycle_balance,eval_video/return_s/h7_unicycle_left,eval_video/len_s/h2_one_wheel_car,eval_avg/return_s/h6_unicycle_right,eval_avg/return_s/h0_weak_thrust,eval_video/return_s/h0_weak_thrust,eval_avg/solve_rate_s/h4_thrust_aim,eval_avg/return_s/h4_thrust_aim,media/eval_video_s/h3_point_the_thruster,_runtime,media/eval_video_s/h4_thrust_aim,eval_video/return_s/h8_unicycle_balance,eval_avg/return_s/h1_thrust_over_ball,eval/mean_eval_solve,media/eval_video_s/h2_one_wheel_car,timing/sps,eval_video/len_s/h3_point_the_thruster,eval_video/return_s/h5_rotate_fall,eval_avg/solve_rate_s/h9_explode_then_thrust_over,eval_avg/solve_rate_s/h7_unicycle_left,eval_video/return_s/h3_point_the_thruster
256,0.20367112755775452,,,,0,,,,,,,,,,,36611.28689953972,1763181417.2298498,,,61440000.0,30,,,,,,,,,,,,,,,,30,,,,8192,,,,,,,,,,,1697.107217898,,,,,,41446.93936171546,,,,,
256,0.2033563256263733,,,,0,,,,,,,,,,,36749.579143144714,1763181466.6431594,,,63488000.0,31,,,,,,,,,,,,,,,,31,,,,8192,,,,,,,,,,,1746.521457254,,,,,,41446.24022972837,,,,,
256,0.20342791080474854,,,,0,,,,,,,,,,,36878.247713390025,1763181516.1496067,,,65536000.0,32,,,,,,,,,,,,,,,,32,,,,6144,,,,,,,,,,,1796.02987873,,,,,,41368.27767412326,,,,,
256,0.20360076427459717,,,,0,,,,,,,,,,,37001.59223670228,1763181565.5744781,,,67584000.0,33,,,,,,,,,,,,,,,,33,,,,8192,,,,,,,,,,,1845.450051774,,,,,,41436.47764451001,,,,,
256,0.20117609202861786,,,,0,,,,,,,,,,,37118.70699745558,1763181614.9861722,,,69632000.0,34,,,,,,,,,,,,,,,,34,,,,8192,,,,,,,,,,,1894.863291146,,,,,,41447.90830645375,,,,,
256,0.20195066928863525,,,,0,,,,,,,,,,,37230.10105713543,1763181664.3822665,,,71680000.0,35,,,,,,,,,,,,,,,,35,,,,8192,,,,,,,,,,,1944.258859225,,,,,,41460.514315176915,,,,,
256,0.20202890038490295,,,,0,,,,,,,,,,,37335.58348670557,1763181713.7966228,,,73728000.0,36,,,,,,,,,,,,,,,,36,,,,8192,,,,,,,,,,,1993.676423911,,,,,,41445.48253007501,,,,,
256,0.20128226280212402,,,,0,,,,,,,,,,,37435.13596784899,1763181763.2540064,,,75776000.0,37,,,,,,,,,,,,,,,,37,,,,8192,,,,,,,,,,,2043.128407263,,,,,,41410.147810912036,,,,,
256,0.2013949602842331,,,,0,,,,,,,,,,,37530.21270618005,1763181812.695305,,,77824000.0,38,,,,,,,,,,,,,,,,38,,,,8192,,,,,,,,,,,2092.571729611,,,,,,41422.776999968264,,,,,
256,0.2012796700000763,,,,0,,,,,,,,,,,37620.392196501445,1763181862.1637924,,,79872000.0,39,,,,,,,,,,,,,,,,39,,,,8192,,,,,,,,,,,2142.039782669,,,,,,41400.61253034118,,,,,
